Token 0,Token 1,Fee,tickSpacing,Pool,Tx Hash,BlockNumber
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,3000,60,0x6baD0f9a89Ca403bb91d253D385CeC1A2b6eca97,0xfbe9b40c260a834265f593bdc439bc8a7b82fa2c7c9e2218391318439af0f75e,22757913
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,3000,60,0x0e44cEb592AcFC5D3F09D996302eB4C499ff8c10,0x3b67e703392e08f3a96d46d0c84055a2a87e5464648e18b07f73688bda2e36af,22762313
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,500,10,0x45dDa9cb7c25131DF268515131f647d726f50608,0x26d6aa39e727fdf7052807bf6c9c074f43f807643012ca0f894ccf05fc7dd3ab,22765962
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,3000,60,0xFE530931dA161232Ec76A7c3bEA7D36cF3811A0d,0xf7781b5f3f11c05dad19dc665995d0e71ba48753cff07d5462f85c13e3bcc30f,22771167
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,3000,60,0x78Df0bfFFf7bc653b9a8b14Cd1C0E740d1407F42,0xd4d11221724cf94f1c4c9f1bf6a77f53dca927214f7a79e22e26a61c58c747cb,22797812
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,500,10,0x0e226447ae42F91b338B25c7DD23D20E337F78a3,0x407354805265e304871f5604d18fe57d605f1c7870722023067a919169b6d85f,22797844
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,10000,200,0xF4BE3782A86A65E053EDDBBbF19A06E445B8dDf6,0x6582a1edfbb1b899884a4d84cd734dcb5284b48011093f09cf7612d583a72803,22797886
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,500,10,0x5f69C2ec01c22843f8273838d570243fd1963014,0x80b78978f0e57e29d1cedcdf7d9c46dd340eec47aa956eae265cdb579c895c9a,22797928
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,10000,200,0xBD934A7778771A7E2D9bf80596002a214D8C9304,0x903012bad8eb24e35014c88bb2769153aef017a1e632dad34134912b08075743,22798611
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,500,10,0xBB98B3D2b18aeF63a3178023A920971cf5F29bE4,0xdce1eac87c4f19d26388877768f3dd3b68eed609710e7f23de7152cee983953d,22798834
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3000,60,0x4CcD010148379ea531D6C587CfDd60180196F9b1,0x4946b6d585d2afb7d8ba8150c6ee35c4b0c15425e1958610974a9736f27dc620,22798907
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,10000,200,0xc21b964AF2B0254580d44981d624335f2b7C6fB6,0xd129917bf985f2f07cb33d8938cf8e5713e83b476ca1540a35250b5792df9659,22798941
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,10000,200,0xe30e4dfdBb10949c27501922F845e20Cfa579F09,0x003373d9c57ba0f1cdba13d2b91b3867f9910cda95166f0e8eb0d6f3534e67f4,22799300
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,500,10,0x9B08288C3Be4F62bbf8d1C20Ac9C5e6f9467d8B7,0x1cb7fc6555d8a31edf0bb638e6aadba7a0242e5a88569976f54d5f6f187ff787,22799345
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3000,60,0x781067Ef296E5C4A4203F81C593274824b7C185d,0xc05513071dfa069e6ccf0d47fee2a5d400f950ab1ebb94d315cd368b8c1c6cfa,22799346
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,10000,200,0x9a72FC3Fb9E99087d2eAE500355E7902C763f9B3,0x3b8b80b7489237977dcc0cc739884bc266e0b8c233d2e1ccd4192bbd584973e5,22799346
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,500,10,0x42F0530351471dAB7ec968476D19bD36Af9Ec52d,0xb3b84eae71070932eeae8c05c39faecdf784f2c10a926372ff6d9f103ba1481b,22799347
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3000,60,0x88aAEed1fCFCA2Eda30749Afa9ad45A75c80E292,0xc1e1926c38528db4c599df26ea4c86e708f4c3623d12de850f586a134de161d9,22799347
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,10000,200,0x9a4270d9DA562780A6bb5D01dcb527eb8eC86Da4,0x47099dbf3956ff032ae8af5dfd5c952c2dec39880afbe55c31ba0ff1dbaec8c0,22799348
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,10000,200,0x24D4484dF93B4bc71d6A48c9EDd2978D283603Ed,0xbf36db29568e7ca5d17cee82d8db9a1373cf29330aa5a088675d5475c03f3c6f,22800152
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,3000,60,0x88f3C15523544835fF6c738DDb30995339AD57d6,0x462024ea9fe6052af3b8b8fa89672ba5f7b3539402c7714da0a82da154677a3b,22800449
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,500,10,0x86f1d8390222A3691C28938eC7404A1661E618e0,0x11565eb01551a91f970a3a91ef2774c821e0d06fe888f650804f89f982bc77c8,22801515
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,3000,60,0xD0367259CBdcED31C0005FEc935771DE99489a6E,0xa74687723e373a4fa6f2ef9e90943f1db828bf4b9e3187090e99e883a9cf5c50,22801620
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,500,10,0xA374094527e1673A86dE625aa59517c5dE346d32,0xdd69952945afae62bd125bf3ca0a8a75e021bc59f080dbd1c6f9f09d6fab508a,22802494
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xf50D05A1402d0adAfA880D36050736f9f6ee7dee,500,10,0xDFD9Aee8b366400791783322217C352E93dabe7c,0x5315632e1a2278cc14873a3dbe679719c98ed74edbd1262ec2a8a3e71ee7717e,22805553
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,10000,200,0x7109C674e52b14FCFb8A04ffe254f454f9C61C18,0x2d7b825c227c85ae78ed5a2ce36785f377d4ea21223c599567f79cc9d375c6c4,22809823
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,3000,60,0x24555B1E26407b8b56621da41F175c5E2B80f1b8,0x8bdca4235c1bb0990b4b61a9352dfd7f29d63d7fcd8b117f1722f1f3836e7834,22809898
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xc2132D05D31c914a87C6611C10748AEb04B58e8F,500,10,0x3F5228d0e7D75467366be7De2c31D0d098bA2C23,0x3b62fc9d90240a5699aa1979be1945d2a8968caae48203377954a6d19a6452c1,22809956
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,500,10,0x67a9FE12fa6082D9D0203c84C6c56D3c4B269F28,0x75f40e1a765f9efacc06cd32bb7787a4e2399ed4db9a770517e5ebe408bd36f7,22831925
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,3000,60,0x167384319B41F7094e62f7506409Eb38079AbfF8,0xc991cfbdba38089d4f1ac203a5507a51cdba0d17551964032f080ee5b3395032,22839265
0x8cB96E95C714E0996e6D299F617F518D965E352E,0xe20B9e246db5a0d21BF9209E4858Bc9A3ff7A034,3000,60,0x2B00B505bF3Ac62eb41935d3DafeF7076EF208E2,0x79d4b05bdc1a77f6fc24d44563f517ad9e0045c763416bae3d96627be8c31e03,22841909
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xA1c57f48F0Deb89f569dFbE6E2B7f46D33606fD4,3000,60,0x56845fd95C766eCB0ab450fE2D105a19440a6E35,0xb619373bfea120e8de1805123f0b5947793bbf314729bda0402e9f972065ef6b,22841912
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x229b1b6C23ff8953D663C4cBB519717e323a0a84,10000,200,0x81961A1BcCB9DDCB3608435339Fa5028c20A10ed,0x582f925c46ac871caf7f79eebe0a4b70bc63d4a3d286d73aaaf80d59c7d6f5fd,22841955
0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,3000,60,0x89308CB35C229014122ca27751171Da18390141A,0xc91667ad0ed92218939bbea650c13fc06fda4583d77b002b27bb984850ba9a8e,22842198
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,10000,200,0xFd0693F146Eae257586E0dc63205f090e31a3584,0x8c334dca3156162e7990e03dfb628a187b2df27d30ab31ffd3361f5ffb6375eb,22842208
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,3000,60,0x98b9162161164De1ED182A0dFA08f5fBf0F733CA,0xe059a12dfbc99209fa0914a93bb3ef4f6dbf3fbc7b990c742c4bc5577da1f7ef,22842322
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0x99EfA49134Cfb953a93Ff621db9A478a08Cb0F51,3000,60,0x6FB1DA0fdf58217c021b391F7FA59c09d356654A,0xf73f39adc265638779b01b9f3ba4a8dad053d261e1d7bc2cf5b51d0c67323c5e,22842379
0xc6480Da81151B2277761024599E8Db2Ad4C388C8,0xef938b6da8576a896f6E0321ef80996F4890f9c4,500,10,0xE22dc498c0c2038dDB0690eb27f569bE93B2AbEC,0xaf067d73e1ab6fd4125acb8ef0c5a87f308fddd23f87932f521411509a8c322a,22842565
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xc26D47d5c33aC71AC5CF9F776D63Ba292a4F7842,10000,200,0xaE6260c53bAF937a202B3e74Ef569F4fE90257e3,0x9c921ab46db47eba326e5fbf13f434fc3439fc1eac61ddafdbbd5a409b3c0f36,22842677
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xef938b6da8576a896f6E0321ef80996F4890f9c4,3000,60,0x68f7B7b20E95Fa4EE41B1E54D0A0429CB989BFa1,0x44f3c5f0c2cbab631ffee990a08b9fd7f7447980f8ac9c67118eae3b43f151a0,22842689
0x0169eC1f8f639B32Eec6D923e24C2A2ff45B9DD6,0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,10000,200,0x1650487933A1da069D7018e85c38450D0f9dD6ba,0xbb002e4029f365438bec305fe38d05da1e821d2d9438c3a2666b4be3c51c9505,22842975
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x8cB96E95C714E0996e6D299F617F518D965E352E,3000,60,0xabAa23bD11Ddd4860B8958Cf6c108898642DccA7,0xdb8f051688038c74c4ea12e527dd620967a15a6cf62b2c80f5604161770f3c6c,22843152
0x831753DD7087CaC61aB5644b308642cc1c33Dc13,0xf28164A485B0B2C90639E47b0f377b4a438a16B1,3000,60,0xef18BbFd124ec914940b539F6E4394CA9426d7A5,0xe9834ce9a10d5643124b1f82a2da745749c48d12835ea470cd0bc211de63ad38,22843346
