Token 0,Token 1,Fee,tickSpacing,Pool,Tx Hash,BlockNumber
0xE5417Af564e4bFDA1c483642db72007871397896,0xf687db8246462bedC69F5ebc588678101Fe2a88B,10000,200,0xBb68fDA8854c1907d8977cC8178c4Fe007255186,0x9983c862b634c619373672767c5d1efd3791775eb2384bba8b62c9cfa05842ec,36076994
0xE5417Af564e4bFDA1c483642db72007871397896,0xeaFE31Cd9e8E01C8f0073A2C974f728Fb80e9DcE,3000,60,0x3a1257C9909E84E88E6E3f42A748e4e0AaC905ca,0x9abf298b7e7f4cce61c9ae4d88781df5db86b81b449b5aca16c39d5a9ace7727,38121503
0xE5417Af564e4bFDA1c483642db72007871397896,0xFa1aAF2f4464F89Eaa852D96FF9374fE20C10309,10000,200,0x6c39b6cAaa41e3894C68416A6EcD908ecd1Bdb2b,0x76941fa99f060c427492e4965130eb18771d3bccd8640d16aacce2dd041d39b4,42699550
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xE5417Af564e4bFDA1c483642db72007871397896,3000,60,0xEFa98Fdf168f372E5e9e9b910FcDfd65856f3986,0x316e8e0af3e5637b57d695ae3943c320feaf283595f93568a707b2c3dfda1160,22887419
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0xBa0216254163B57aF68B7161cf824dBadcAD61Df,0xf35e21d6fb1d137131028c5d87c4495b238f062f4d7730b68aacc22105d53c8a,23664632
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0x42DB00acE9490C73831E9F802525EB3FD23eB875,0x2fbd1f90db3b94713feb23b8aeb4ede663801787a1d7a62bf4732d7fc3d6c20a,24880183
0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,0xE5417Af564e4bFDA1c483642db72007871397896,3000,60,0xD39f5bbeA894FF12C4F287855b5430D9C33734ed,0x577525d1f7fc69eb1f6cfac4b4a85d2f50dd02c3149e07ceb60f0629babc0d99,28073039
0x7075cAB6bCCA06613e2d071bd918D1a0241379E2,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0xADd7Ee56650d50B582CdaadC7E761799df113160,0xd5c9de74bdb689bf15246c860f9a690b83439bc1bc3d74f22a38bfe41300c495,28672840
0x9Fb9a33956351cf4fa040f65A13b835A3C8764E3,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0x3BdaD9A549Ef925166B9e98A88432e2E6290E9db,0xad6deab066ad41933553616cf392ee61388c1e40834fd3a5cb6895069a6384f8,29609579
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0xFC469d13542E70f1512569EBf60C1E8fA01B6931,0x4d97d5466023dc199f6c23db93c5c50ac337723db2d1e12868ee30e616e1b697,32500869
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xE5417Af564e4bFDA1c483642db72007871397896,3000,60,0x32A222f69d00e717845a3D857D0392D6A25a2ACd,0x1a21d1add630651d2850180c88a037fff16071af521e6b72a143339fa6b3a8aa,33676296
0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,0xE5417Af564e4bFDA1c483642db72007871397896,500,10,0x516a04722d85fB216fa135B5B01bAc60920E39c3,0xe58f335b85bf3fc846d1a2d1ccff25ef3c14de1bb91c68a1c377ac18171f0c4d,33737605
0x0d500B1d8E8eF31E21C99d1Db9A6444d3ADf1270,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0x47aFE6797053236587219aec33C2bEC1295E8183,0xd8b687e04f66df1ca624e0bd78b3ca1bf5c1ecab7029cf3f4bb25b69376d6886,33935224
0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0xE5417Af564e4bFDA1c483642db72007871397896,3000,60,0xCe0BbB1E51ee21cde86257593f29cBD9A60CA97A,0x997dbe69256f3ed03f84a60ea6ce2d724cbb8fb4898d2a9980a6fe841a600b33,34797476
0x8f006D1e1D9dC6C98996F50a4c810F17a47fBF19,0xE5417Af564e4bFDA1c483642db72007871397896,10000,200,0x1D71a7EA86358a9B11D0d7ED5fe970CDD66b546f,0x81b6f58b2ae7402ff65fa1c14a003e04a0cb9a9b93082648e4cd4e6594ca1faa,34829812
0x8f3Cf7ad23Cd3CaDbD9735AFf958023239c6A063,0xE5417Af564e4bFDA1c483642db72007871397896,100,1,0x2ed878ef6fA6Dc4715bCBEB0dE1BB1d7e0E66F4A,0xc9df7e9faffde8d27dc49a9c13a8084e94ca32c6551933ba5ed506931bb328c8,34874660
